sentence,likelihood
"Wow, that's amazing.",-12.48046875
I'm going to die.,-12.48291015625
I guess.,-12.484375
"Oh, I know you.",-12.484375
What did you do last night?,-12.484375
Ben!,-12.484375
Charlie!,-12.484375
What's taking you so long?,-12.48486328125
What do you think about this?,-12.4853515625
Are you my friend?,-12.48583984375
I tell you what.,-12.486328125
"Oh, it's you.",-12.486328125
Don't you remember?,-12.4866943359375
This is wrong.,-12.48828125
I have no idea what you're talking about.,-12.48876953125
Girls just wanna have fun.,-12.4912109375
Are you a boy or a girl?,-12.4913330078125
"Well, of course.",-12.491455078125
You talkin' to me?,-12.4921875
I'm not mad.,-12.4921875
So what's up?,-12.4921875
I'm your friend.,-12.4921875
You can't.,-12.4921875
It is what it is.,-12.493408203125
"No, absolutely not.",-12.494140625
What am I supposed to do with this?,-12.495025634765625
What do you want to be when you grow up?,-12.497528076171875
"Well, what should I do?",-12.4990234375
That was awesome!,-12.5
"What, what?",-12.5
Oh snap!,-12.5
Soo.,-12.5
Can I have your number?,-12.5
"Oh, alright.",-12.5
"Hey, where are you going?",-12.5
Lisa!,-12.5
Where'd you get this?,-12.5009765625
"Hello, world!",-12.50390625
"No, stop.",-12.50390625
"Dude, seriously?",-12.50390625
This is.,-12.50390625
How do I do this?,-12.50390625
I don't know what you mean.,-12.50390625
I don't need that.,-12.50390625
What are you going to do about it?,-12.505859375
"Come on, girl.",-12.5078125
Do you hear that?,-12.5078125
What's your story?,-12.5078125
Do you.,-12.5078125
You're fired!,-12.5078125
You're so mean!,-12.5078125
What do you think this is?,-12.5078125
"Ugh, no.",-12.5078125
Not again!,-12.5078125
I'm back!,-12.5078125
Are you blind?,-12.50927734375
Where do you get your ideas?,-12.509765625
How old is she?,-12.51171875
Did you do your homework?,-12.5126953125
"Girl, please.",-12.5126953125
What did you think?,-12.513671875
Can I come?,-12.515625
Whaaaaa?,-12.515625
Be quiet!,-12.515625
What's so funny?,-12.515625
Nerd!,-12.515625
Good night.,-12.515625
I'll be there.,-12.515625
Woman!,-12.515625
Don't you trust me?,-12.5164794921875
What do you say?,-12.5166015625
What are you complaining about?,-12.516845703125
What are you going to say?,-12.517578125
"No, don't do that.",-12.51898193359375
Why are you so sad?,-12.51953125
How does this work?,-12.51953125
"Well, Dr.",-12.5205078125
Did you get my text?,-12.5205078125
I've never done this before.,-12.521484375
Don't tell me what to do!,-12.5223388671875
Can I have one?,-12.5234375
You're so pretty!,-12.5234375
Do you like this?,-12.5234375
Where's my mom?,-12.5234375
"Umm, yeah.",-12.5234375
Oh my word!,-12.5234375
I'm not talking to you.,-12.5234375
"Yeah, I get it.",-12.5234375
"Hey, you guys.",-12.5234375
You don't know what you're talking about.,-12.523666381835938
How did you get this?,-12.525390625
What day is it?,-12.525390625
How could you not know that?,-12.525390625
Are you sure you know what you're doing?,-12.527099609375
That's interesting.,-12.52734375
What on earth are you doing?,-12.52880859375
I'll think about it.,-12.529296875
"Uh, hi.",-12.529296875
Don't I know you?,-12.5306396484375
What the fuck is this?,-12.53125
Morning!,-12.53125
Josh!,-12.53125
"Oh, who cares?",-12.53125
"Yeah, I guess.",-12.53125
Michelle!,-12.53125
That.,-12.53125
I love this song!,-12.53125
Moi?,-12.53125
Anna!,-12.53125
Mark!,-12.53125
Are we there yet?,-12.53271484375
That's what she said!,-12.534423828125
Why are you running?,-12.53515625
What's in here?,-12.53515625
I missed you.,-12.53515625
How are you today?,-12.5361328125
It's good.,-12.5390625
I'm so sad.,-12.5390625
You crazy?,-12.5390625
"Um, excuse me?",-12.5400390625
Are you guys ready?,-12.54052734375
Why don't you get a job?,-12.540924072265625
Don't go.,-12.5413818359375
Why are you so angry?,-12.54296875
"Look, man.",-12.54296875
"Yes, I do.",-12.54296875
What's her name?,-12.54296875
Let's get married!,-12.54296875
What do you want to do today?,-12.5439453125
"Yeah, of course.",-12.5443115234375
You want me to do what?,-12.54541015625
Who are you talking about?,-12.546875
Men!,-12.546875
Get over here!,-12.546875
Do I look fat?,-12.546875
Get over it!,-12.546875
What color?,-12.546875
Johnny!,-12.546875
Adam!,-12.546875
What is that thing?,-12.546875
"Hey, kids!",-12.546875
I swear.,-12.546875
Whoah!,-12.546875
I don't have anything to wear.,-12.546875
"Hey, kid.",-12.546875
Can we go?,-12.546875
What the fuck are you talking about?,-12.547576904296875
Are you single?,-12.54833984375
You know what your problem is?,-12.548828125
What is she talking about?,-12.5501708984375
Aren't they cute?,-12.5516357421875
I'm hot.,-12.5546875
I'm not ready.,-12.5546875
"Eh, whatever.",-12.5546875
"Hey, babe.",-12.5546875
Why are you asking me this?,-12.5546875
You know something?,-12.5546875
I'm 17.,-12.5546875
Something's wrong.,-12.5546875
"Well, what am I supposed to do?",-12.554763793945312
Don't bother.,-12.5570068359375
I don't really care.,-12.55859375
Ashley!,-12.55859375
"Thank you, Mr.",-12.55859375
"Don't worry, Mom.",-12.5609130859375
"Please, Mr.",-12.562255859375
A cat?,-12.5625
It's true.,-12.5625
Water?,-12.5625
You know what I like?,-12.5625
Friends?,-12.5625
Stop talking.,-12.5625
Joe!,-12.5625
I don't know how to do this.,-12.5625
See that?,-12.5625
Jay!,-12.5625
Miss!,-12.5625
Dan!,-12.5625
How are you going to do that?,-12.56396484375
I'm a grown woman.,-12.56640625
Is this thing on?,-12.5693359375
When did this happen?,-12.5703125
"Yeah, exactly.",-12.5703125
Why does it matter?,-12.5703125
What girl?,-12.5703125
Ooooooh!,-12.5703125
Bam!,-12.5703125
"Well, what do you do?",-12.5703125
"All right, fine.",-12.572265625
What the hell's wrong with you?,-12.5732421875
"It's not you, it's me.",-12.573333740234375
"No, not really.",-12.57421875
"Whatever, whatever.",-12.57421875
What are you doing down there?,-12.57568359375
Why don't you?,-12.576080322265625
I know what I'm doing.,-12.576171875
What am I gonna wear?,-12.57659912109375
You're kidding me.,-12.578125
Quiet!,-12.578125
Naw.,-12.578125
Steven!,-12.578125
Omfg!,-12.578125
I have a problem.,-12.578125
What up?,-12.578125
Noooooooooo!,-12.578125
What do you got?,-12.5791015625
What are you doing up?,-12.57958984375
Are you deaf?,-12.57958984375
"Actually, no.",-12.580078125
"Daddy, Daddy!",-12.58203125
What are you doing in there?,-12.58349609375
"Mom, I don't know.",-12.5836181640625
Please help me.,-12.583984375
It's so cute!,-12.5859375
You look good.,-12.5859375
Who is that guy?,-12.5859375
A dog?,-12.5859375
Can I get your number?,-12.5859375
It's great.,-12.5859375
I'm 18.,-12.5859375
You're lucky.,-12.5859375
My bad.,-12.5859375
I don't know what that is.,-12.5859375
What are you cooking?,-12.58740234375
How did you do this?,-12.587890625
What year is it?,-12.587890625
How did you do it?,-12.587890625
"All right, then.",-12.587890625
What's in a name?,-12.587890625
"Damn, girl.",-12.58984375
Are you sure you're okay?,-12.59130859375
I'm done with you.,-12.59375
How much is this?,-12.59375
Why are you looking at me?,-12.59375
I'm not gay.,-12.59375
Lily!,-12.59375
Kind of.,-12.59375
I'm really hungry.,-12.59375
Look at him.,-12.59375
I'm not crazy.,-12.59375
Take it.,-12.59375
I need you.,-12.59375
"I love you, Mom.",-12.59375
I can't believe you did that!,-12.5947265625
"Yeah, that's me.",-12.595703125
Don't say that.,-12.5960693359375
"Uh, I don't know.",-12.59619140625
Who is this girl?,-12.59765625
What's her problem?,-12.59765625
"OK, whatever.",-12.59765625
But Mrs.,-12.598876953125
Jesus H.,-12.6005859375
Eat this.,-12.6015625
"Hey, what's that?",-12.6015625
Move over.,-12.6015625
You're fat.,-12.6015625
"Oh, what's wrong?",-12.6015625
"Hi, Ms.",-12.6015625
"Sure, whatever.",-12.6015625
It's Friday.,-12.6015625
Probably not.,-12.6015625
"What's wrong, baby?",-12.6015625
That sucks.,-12.6015625
Behold!,-12.603515625
"Wait, no.",-12.603515625
"Hey, hey, hey.",-12.60546875
"No, guys.",-12.60546875
Why are you taking so long?,-12.60546875
Who does he think he is?,-12.6063232421875
Can I get a picture with you?,-12.6064453125
What are you studying?,-12.60693359375
What the hell are you wearing?,-12.607421875
What are you looking at me like that for?,-12.607421875
"Well, Ms.",-12.608154296875
"Man, I don't know.",-12.6083984375
Why aren't you talking to me?,-12.608917236328125
James!,-12.609375
Kay.,-12.609375
Easy!,-12.609375
Do you have kids?,-12.609375
"Uh, excuse me?",-12.609375
I'm so confused.,-12.609375
"Yeah, I do.",-12.609375
How about you?,-12.609375
I'm a big girl.,-12.609375
Lauren!,-12.609375
Don't leave me.,-12.6097412109375
I didn't know.,-12.61126708984375
Can I talk to you about something?,-12.612548828125
Why are you so upset?,-12.61328125
I don't care what you say.,-12.61328125
Show me.,-12.6142578125
Can you help me with my homework?,-12.6171875
I'm getting married!,-12.6171875
I'm on a diet.,-12.6171875
It's amazing.,-12.6171875
It's like.,-12.6171875
"Okay, let's go.",-12.6181640625
Check it out.,-12.62109375
This is nothing.,-12.62109375
"Mom, you know what?",-12.62109375
"Mom, you don't get it.",-12.6221923828125
Please don't.,-12.6248779296875
Tell me more.,-12.625
Soooo.,-12.625
Goodness!,-12.625
"Come on, honey.",-12.625
Jamie!,-12.625
And you know what?,-12.625
What is happening?,-12.625
Oh shoot!,-12.625
Her?,-12.625
What do I have to do?,-12.626953125
"I know you are, but what am I?",-12.62884521484375
Can we go now?,-12.62890625
Why are you eating that?,-12.62890625
I got to go.,-12.62890625
Why do you want to do that?,-12.62890625
What are you even doing?,-12.63037109375
But I don't want to!,-12.63079833984375
"Yeah, yeah, I know.",-12.630859375
"Mommy, look at me!",-12.6318359375
Listen to me.,-12.6328125
F*** you.,-12.6328125
I'm right.,-12.6328125
"Yeah, I think so.",-12.6328125
What is this shit?,-12.63671875
This is boring.,-12.63671875
Call me.,-12.63671875
Why are you late?,-12.63671875
Do me a favor.,-12.63671875
Can we be friends?,-12.63671875
Where do you come from?,-12.638671875
Will you help me?,-12.63916015625
Brother!,-12.640625
How old?,-12.640625
Thank goodness!,-12.640625
Probably.,-12.640625
"Ew, gross!",-12.640625
"Yeah, absolutely.",-12.640625
Impossible!,-12.640625
I love you guys!,-12.640625
Welcome home!,-12.640625
Paul!,-12.640625
Where'd you go?,-12.6416015625
What are you doing back here?,-12.64208984375
"Oh, it's nothing.",-12.642578125
Woe is me!,-12.64453125
"No, I'm good.",-12.64453125
Dunno.,-12.646484375
What kind of question is that?,-12.64691162109375
I'm rich.,-12.6484375
So what happened?,-12.6484375
Why are we here?,-12.6484375
I'm old.,-12.6484375
Why would you do this?,-12.6484375
What is going on here?,-12.650146484375
This isn't right.,-12.65020751953125
I can't talk right now.,-12.65167236328125
I don't really know.,-12.65234375
What are you doing in my room?,-12.65380859375
What are you gonna wear?,-12.65380859375
"Oh, yeah, sure.",-12.654296875
Why are you so mean to me?,-12.654296875
I can't eat this.,-12.6552734375
You want fries with that?,-12.65576171875
Yah!,-12.65625
Not cool.,-12.65625
"I don't know, honey.",-12.65625
I'm confused.,-12.65625
"What, me?",-12.65625
A boy?,-12.65625
Fantastic!,-12.65625
I think.,-12.65625
Do you smell that?,-12.65625
I'm a princess.,-12.65625
"Yeah, that's fine.",-12.658203125
"Whoa, dude.",-12.66015625
That's mine!,-12.66015625
This is my house.,-12.66015625
He's so cute!,-12.66015625
This is mine.,-12.66015625
How did that happen?,-12.66015625
I don't know what happened.,-12.66015625
"Um, yes.",-12.6630859375
What are you still doing here?,-12.66357421875
I'm not like other girls.,-12.66357421875
How can you eat that?,-12.6640625
Google it.,-12.6640625
"Oh, what's this?",-12.6640625
I'm a vegetarian.,-12.6640625
Are you fucking kidding me?,-12.6650390625
What did you just say to me?,-12.66552734375
"Mom, why are you crying?",-12.6669921875
What's that for?,-12.66796875
That's not funny.,-12.66796875
"OK, I get it.",-12.66796875
Whatevs.,-12.66796875
"All right, you know what?",-12.669921875
I could care less.,-12.6700439453125
Here it is.,-12.671875
You're doing what?,-12.671875
Jenny!,-12.671875
Coffee?,-12.671875
Pardon?,-12.671875
Why are you so weird?,-12.671875
What's going on over there?,-12.673095703125
Are you leaving?,-12.67333984375
What have you been doing?,-12.673828125
How did you find me?,-12.673828125
She's like.,-12.67578125
This is bad.,-12.67578125
"No, no, you don't understand.",-12.676971435546875
"What, are you kidding me?",-12.677734375
Don't look at me.,-12.6781005859375
"What the hell, man?",-12.6796875
You're a writer.,-12.6796875
You know what we need?,-12.6796875
Hmph.,-12.6796875
But I love you!,-12.6796875
It's not me.,-12.6796875
You're so funny!,-12.6796875
"Hi, how are you doing?",-12.681396484375
Dear Mr.,-12.681640625
Why do I have to do this?,-12.681640625
So what do you want to do?,-12.6826171875
I don't want it.,-12.68359375
I had no idea.,-12.68359375
Can you do this?,-12.68359375
What are you smoking?,-12.68505859375
"Oh, of course.",-12.687255859375
What the fuck is that?,-12.6875
Are.,-12.6875
"Oh, I know, right?",-12.6875
Just try it.,-12.6875
Em!,-12.6875
See ya!,-12.6875
I don't think I can do this.,-12.6875
W-what?,-12.6875
"Yeah, I guess so.",-12.6875
"Come on, you guys.",-12.6875
2.,-12.6875
I got you.,-12.6875
What do you have there?,-12.6884765625
Don't eat that.,-12.6898193359375
How about this one?,-12.69140625
This is perfect.,-12.69140625
Can I take a picture with you?,-12.693359375
Do you want to get married?,-12.6953125
Oh noes!,-12.6953125
I'm not worried.,-12.6953125
What is that noise?,-12.6953125
What do you care?,-12.6962890625
What have you been up to?,-12.6982421875
"Mom, I'm sorry.",-12.69921875
What are my options?,-12.69921875
Can you stop?,-12.69921875
"Yeah, uh-huh.",-12.700103759765625
"Uh, guys?",-12.701171875
Where did that come from?,-12.70172119140625
Nice to meet you.,-12.7030029296875
What did he do?,-12.703125
Pizza?,-12.703125
"Mom, where are you?",-12.703125
I'm not pregnant.,-12.703125
I didn't say that.,-12.70501708984375
How could you do that to me?,-12.705078125
"Look, you know what?",-12.70703125
There she is!,-12.70703125
Where's my dad?,-12.70703125
I can't eat that.,-12.7099609375
Where do I start?,-12.7109375
You good?,-12.7109375
It's my birthday.,-12.7109375
I'm a teacher.,-12.7109375
"Oh, Mommy!",-12.7109375
Why not me?,-12.7109375
"Oh, um.",-12.7109375
"Oh, seriously?",-12.7109375
I'll be fine.,-12.7109375
I'm sad.,-12.7109375
"Look, no hands!",-12.7109375
"All right, all right.",-12.71142578125
What the heck are you talking about?,-12.711578369140625
Where are you right now?,-12.713134765625
Why are you so mad?,-12.71484375
"Wow, you know what?",-12.71484375
I'm out of here.,-12.71484375
I don't even care.,-12.71484375
"Yo, what up?",-12.71484375
Here's the thing.,-12.71484375
Do you live here?,-12.71484375
I don't want to do it.,-12.716796875
You don't have to do that.,-12.717041015625
What am I?,-12.71722412109375
Sis!,-12.71875
Jonathan!,-12.71875
"Mom, how old are you?",-12.71875
Papa!,-12.71875
Susan!,-12.71875
Mommmm!,-12.71875
Is this real life?,-12.71875
Heyyyy!,-12.71875
Why is this happening?,-12.71875
I can do it.,-12.71875
Not me.,-12.71875
What about her?,-12.71875
Go to bed.,-12.71875
Can I touch it?,-12.71875
Just stop.,-12.71875
"Oh my God, what are you doing?",-12.71875
Can't we all just get along?,-12.718994140625
I need to talk to you.,-12.72021484375
"Okay, Mrs.",-12.72021484375
Didn't you hear?,-12.72052001953125
"Yeah, that's right.",-12.720703125
Do you know me?,-12.72265625
Just leave me alone.,-12.72265625
Let's party!,-12.72265625
Oh no you don't!,-12.7232666015625
"Okay, wait.",-12.7236328125
I beg your pardon?,-12.72412109375
Quinn!,-12.724609375
Isn't that great?,-12.72589111328125
Stop touching me!,-12.7265625
Ya think?,-12.7265625
"Oh, absolutely.",-12.7265625
Do you remember me?,-12.7265625
You go ahead.,-12.7265625
What color is it?,-12.7265625
I've got it.,-12.7265625
Can I get you anything?,-12.7265625
Can you imagine?,-12.73046875
"Yeah, I can do that.",-12.73046875
Do you want to have sex?,-12.73046875
I don't wanna go.,-12.73046875
That's really cool.,-12.73046875
"Yeah, sure, whatever.",-12.73046875
Where are you going tonight?,-12.73046875
"Hey, sweetie.",-12.7314453125
I'm going to bed.,-12.73291015625
"Well, what do you want me to do?",-12.73333740234375
What is wrong with you people?,-12.733642578125
Doh!,-12.734375
"Cool, cool.",-12.734375
I have a boyfriend.,-12.734375
I like this.,-12.734375
What on earth?,-12.734375
I'm great.,-12.734375
Work?,-12.734375
I'm 14.,-12.734375
Done.,-12.734375
Billy!,-12.734375
Did you.,-12.7353515625
Girls just want to have fun.,-12.7354736328125
What are you smiling about?,-12.73583984375
Are you Jewish?,-12.73583984375
"Hey, what are you doing here?",-12.736328125
You know what would be funny?,-12.73828125
What are you playing?,-12.73974609375
"What's up, Mr.",-12.740234375
I'm gonna die.,-12.7421875
What's on your mind?,-12.7421875
I'm a lesbian.,-12.7421875
I'm not married.,-12.7421875
Can you help me with this?,-12.7421875
What can you do?,-12.7421875
Flowers?,-12.7421875
"Really, dude?",-12.74609375
I don't know what I'm doing.,-12.74609375
That's impossible.,-12.74609375
"Dude, no.",-12.74609375
This is what I do.,-12.74609375
Can you keep a secret?,-12.7470703125
"Okay, Mom.",-12.7470703125
What are you two doing?,-12.74755859375
How hard can it be?,-12.7476806640625
"Mom, I don't care.",-12.7476806640625
How do you know him?,-12.748046875
"Hey, who are you?",-12.7490234375
What did she say?,-12.75
Smile!,-12.75
You're so cool.,-12.75
Is that all?,-12.75
What do we do?,-12.75
"Oh, thank goodness!",-12.75
Brian!,-12.75
You're an adult.,-12.75
What have I done?,-12.75
Look around.,-12.75
"Yeah, I am.",-12.75
"Ew, no.",-12.75
Get.,-12.75
I love you to the moon and back.,-12.75146484375
"Whoa, wait a minute.",-12.751953125
What planet are you from?,-12.75244140625
Take it or leave it.,-12.7529296875
Who was that?,-12.75390625
"Mom, I'm hungry.",-12.75390625
"Yes, please!",-12.75390625
"Fine, fine.",-12.75390625
"What's up, baby?",-12.75390625
What is he talking about?,-12.754638671875
Where did you get it?,-12.755859375
What are we going to do now?,-12.755859375
Who does she think she is?,-12.75732421875
"Well, what do you mean?",-12.7578125
Where should we go?,-12.7578125
I'm a mom.,-12.7578125
What do you want for breakfast?,-12.7587890625
I'm proud of you.,-12.76171875
Why do you love me?,-12.76171875
"Well, not really.",-12.7626953125
Why aren't you in school?,-12.763214111328125
What can I do to help?,-12.763671875
I'm going to the store.,-12.76416015625
Why wouldn't I?,-12.764434814453125
Who are they?,-12.765625
Can I come over?,-12.765625
Forget that.,-12.765625
"Yeah, fine.",-12.765625
I'm so embarrassed.,-12.765625
What is this stuff?,-12.765625
What's in there?,-12.765625
I remember you.,-12.765625
In what way?,-12.765625
What are you doing tomorrow night?,-12.76708984375
Ohmigod!,-12.767578125
Why are you dressed like that?,-12.767578125
"Look, Mr.",-12.767822265625
Pffft.,-12.76953125
What's that mean?,-12.76953125
Is this true?,-12.76953125
You know what I'm gonna do?,-12.76953125
Are you thinking what I'm thinking?,-12.770050048828125
"Yes, of course.",-12.7705078125
Are you a lesbian?,-12.77099609375
Why are you mad at me?,-12.77099609375
"Um, OK.",-12.7724609375
What's going on in here?,-12.772705078125
What's your name again?,-12.7734375
I've got to go.,-12.7734375
I'm too tired.,-12.7734375
I'm home.,-12.7734375
"Oh, Jesus.",-12.7734375
What's wrong with her?,-12.7734375
That was amazing!,-12.7734375
I'm going out.,-12.7734375
Can I kiss you?,-12.775390625
How can that be?,-12.775390625
Don't cry.,-12.7757568359375
"No, I can't do that.",-12.7763671875
"Mom, I love you.",-12.77734375
I want to go.,-12.77734375
This is America.,-12.77734375
"Well, I'm sorry.",-12.7783203125
Show me the money!,-12.7783203125
"Whatever, I don't care.",-12.7784423828125
Can you pick me up?,-12.77880859375
"No, I didn't.",-12.779052734375
What did you just call me?,-12.779296875
"No, you can't do that.",-12.7802734375
"Wow, this is amazing.",-12.78125
My.,-12.78125
Sir!,-12.78125
Sally!,-12.78125
How much longer?,-12.78125
Ahhhhhh!,-12.78125
R.,-12.78125
Sweetie!,-12.78125
Leave him alone.,-12.7822265625
What are you doing out there?,-12.78271484375
"What, again?",-12.78515625
Where are my keys?,-12.78515625
Do you want to come over?,-12.78515625
"Mom, are you serious?",-12.7861328125
What are you going to do with that?,-12.787109375
I'll kill you!,-12.787109375
"Oh, baby.",-12.7890625
"Yeah, cool.",-12.7890625
I'm telling you.,-12.7890625
What's good?,-12.7890625
What's wrong with you guys?,-12.7890625
"Ummm, no.",-12.7890625
You know what I love?,-12.7890625
"Yeah, so?",-12.7890625
"Oh my God, I'm so sorry.",-12.7890625
"Oh, yeah, yeah, yeah.",-12.7890625
I'm an actress.,-12.7890625
"Oh, I don't care.",-12.789794921875
"Oh, it's fine.",-12.791015625
"Yeah, that's cool.",-12.791015625
"Mommy, I'm scared.",-12.7919921875
"Mommy, I'm hungry.",-12.7919921875
"Mom, I get it.",-12.79296875
Why are you so mean?,-12.79296875
How does it work?,-12.79296875
This is awful.,-12.79296875
I want to die.,-12.79296875
Where are you now?,-12.79296875
What am I going to do with you?,-12.79400634765625
Are you sure you don't mind?,-12.79547119140625
Excellent.,-12.796875
"Come here, baby.",-12.796875
Not now.,-12.796875
Enough!,-12.796875
Ooooo!,-12.796875
Where's your brother?,-12.796875
Teacher!,-12.796875
I'm so cool.,-12.796875
Fine then.,-12.796875
"I don't know, guys.",-12.796875
You know what sucks?,-12.796875
I need this.,-12.796875
There he is!,-12.7978515625
What did you do to your hair?,-12.798828125
Why is it taking so long?,-12.7998046875
I don't care what you do.,-12.80078125
I don't do that.,-12.80078125
What're you doing here?,-12.80224609375
I'm not in the mood.,-12.802734375
Since when?,-12.8046875
I'll call you later.,-12.8046875
Bless you!,-12.8046875
What are the odds?,-12.8046875
Squirrel!,-12.8046875
Get out of my way!,-12.8046875
Whatever you want.,-12.8046875
"Hey, where are you?",-12.8046875
"Yeah, go ahead.",-12.8046875
I'd love to.,-12.8076171875
"Oh, thank you so much.",-12.8076171875
That's a great idea!,-12.80859375
What would you like?,-12.80859375
Come on now.,-12.80859375
That's so funny!,-12.80859375
How much money do you make?,-12.8095703125
Where did you get those?,-12.810546875
I don't want to be here.,-12.810546875
What am I doing wrong?,-12.81097412109375
Mia!,-12.8125
What's your plan?,-12.8125
Marco!,-12.8125
Dudes!,-12.8125
Look at her.,-12.8125
Ohhhhh!,-12.8125
Ho!,-12.8125
Karen!,-12.8125
You're Mr.,-12.815185546875
"Um, I don't know.",-12.81591796875
"Really, Dad?",-12.81640625
That's not right.,-12.81640625
"Yes, it is.",-12.81640625
Don't get me wrong.,-12.8167724609375
Who the fuck are you?,-12.81787109375
"Why, Mr.",-12.818603515625
Where are you coming from?,-12.81884765625
"Excuse me, Mr.",-12.8189697265625
What is your name?,-12.8203125
"Hey, yeah.",-12.8203125
"Oh, nothing.",-12.8203125
We're done.,-12.8203125
Okay then.,-12.8203125
I'm your mom.,-12.8203125
I'm married.,-12.8203125
"Hi, honey.",-12.8203125
Why are you bothering me?,-12.822265625
I want to go home.,-12.82421875
That's a good idea.,-12.82421875
Chill out.,-12.82421875
"No, Mommy.",-12.82421875
"Hello, Mrs.",-12.82470703125
Did I do something wrong?,-12.826171875
Where's the money?,-12.828125
"I'm sorry, Mom.",-12.828125
Tim!,-12.828125
"Yeah, sorry.",-12.828125
You're still here?,-12.828125
What's in this?,-12.828125
I loved it!,-12.828125
I'm lost.,-12.828125
Nick!,-12.828125
I'm doing this.,-12.828125
I tried.,-12.828125
"Hey, bro.",-12.828125
Wait a sec.,-12.828125
What is up?,-12.828125
Tina!,-12.828125
What do I do with this?,-12.828125
Jess!,-12.828125
Achoo!,-12.8291015625
Are you having fun?,-12.82958984375
What are you laughing about?,-12.82958984375
"So, Mr.",-12.830322265625
Where'd you come from?,-12.831298828125
Where's your husband?,-12.83203125
This is beautiful.,-12.83203125
This is what I want.,-12.83203125
Why are you going?,-12.83203125
"Yes, Mom.",-12.83203125
Thanks a lot.,-12.83203125
"Oh, oh, oh!",-12.83203125
"Well, OK.",-12.8330078125
Can I come with you?,-12.833984375
How old do you think I am?,-12.833984375
Puh-lease.,-12.833984375
Kiss me.,-12.8359375
We're here.,-12.8359375
Oo!,-12.8359375
You do it.,-12.8359375
I am so sorry.,-12.8359375
Oh my Lord!,-12.8359375
You look tired.,-12.8359375
What are you gonna do about it?,-12.83740234375
What'd you get?,-12.83984375
"Look, Mom.",-12.83984375
"Dude, what?",-12.83984375
I just don't understand.,-12.8408203125
"Oh, how are you?",-12.8408203125
What's the worst that can happen?,-12.84100341796875
What did you see?,-12.841796875
"Daddy, what are you doing?",-12.8427734375
"Hey, no problem.",-12.84375
You what?,-12.84375
A book?,-12.84375
America!,-12.84375
I have cancer.,-12.84375
Watch!,-12.84375
Why do you have that?,-12.84375
Jake!,-12.84375
Get in!,-12.84375
This isn't fair.,-12.84552001953125
"Ooh, look!",-12.845703125
How do you know this stuff?,-12.845703125
Congrats!,-12.845703125
Don't you know anything?,-12.8460693359375
"I don't know, Mr.",-12.84619140625
I don't get this.,-12.84765625
Where's your sister?,-12.84765625
"Okay, listen.",-12.8486328125
What are you doing down here?,-12.84912109375
Did you brush your teeth?,-12.85107421875
Let it go!,-12.8515625
You're so weird.,-12.8515625
That was great!,-12.8515625
"What, are you serious?",-12.8515625
You're so stupid.,-12.8515625
"Oh, I love you.",-12.8515625
You're a boy.,-12.8515625
What the hell happened to you?,-12.8515625
Careful!,-12.85546875
I don't know what this is.,-12.85546875
"Yes, you are.",-12.85546875
"Uhh, no.",-12.85546875
Can I get your autograph?,-12.8560791015625
"You just don't get it, do you?",-12.8572998046875
Give me money.,-12.857421875
"Oh, I'm so tired.",-12.859375
I want that.,-12.859375
Come home.,-12.859375
Forget you!,-12.859375
You go first.,-12.859375
"Okay, that's cool.",-12.8603515625
This isn't working.,-12.86114501953125
Are you kidding me right now?,-12.8612060546875
Why don't you call me?,-12.861236572265625
I didn't know that.,-12.86126708984375
What is she doing here?,-12.86328125
That's easy.,-12.86328125
Why are you calling?,-12.86328125
"Wait a minute, wait a minute.",-12.86370849609375
Where the hell are you?,-12.865234375
I can't help you.,-12.8662109375
Are you trying to kill me?,-12.86669921875
Crikey!,-12.86669921875
It's mine!,-12.8671875
It's cold.,-12.8671875
I'm fat.,-12.8671875
Anything else?,-12.8671875
I'm just saying.,-12.8671875
"Hey, Mommy!",-12.8671875
Julia!,-12.8671875
"Sorry, what?",-12.8671875
It's just.,-12.8671875
You're dead.,-12.8671875
I'm OK.,-12.8671875
Why do you say that?,-12.8671875
"I love you, I love you.",-12.868408203125
How many kids do you have?,-12.869140625
That's too bad.,-12.87109375
This is bullshit.,-12.87109375
"I don't know, dude.",-12.87109375
Mt.,-12.87109375
"Well, yes.",-12.8720703125
What the hell do you want?,-12.8740234375
I can't move.,-12.8740234375
"Stop, stop!",-12.875
You hungry?,-12.875
How does that work?,-12.875
Luke!,-12.875
What's the big idea?,-12.875
Boys!,-12.875
How'd you know?,-12.875
Another one?,-12.875
Naomi!,-12.875
Oy!,-12.875
What happened to me?,-12.875
B!,-12.875
It's not working.,-12.875
G.,-12.875
What can I say?,-12.875
Good grief!,-12.875
Screw this.,-12.875
Can I have that?,-12.875
Kate!,-12.875
"Eh, I don't know.",-12.8756103515625
"Okay, that's fine.",-12.8759765625
"Yeah, it's fine.",-12.876953125
What you doin'?,-12.876953125
"No, you don't get it.",-12.8778076171875
My gosh!,-12.87841796875
"Um, Mr.",-12.878662109375
"No, Daddy.",-12.87890625
Why are you laughing at me?,-12.87890625
This is so awesome!,-12.87890625
What's in your bag?,-12.87890625
"No, what?",-12.87890625
Blah!,-12.880859375
What difference does it make?,-12.8824462890625
I'm perfect.,-12.8828125
"Hey, Joe.",-12.8828125
Shush!,-12.8828125
Where do you want to eat?,-12.8828125
It's weird.,-12.8828125
"Oh, never mind.",-12.8828125
I'm the boss.,-12.8828125
You're joking.,-12.8828125
What a coincidence!,-12.8828125
